rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name
1,100,0,0.0,400357,S000033,VT,,b'Sanders'
2,99,1,0.013965968370592854,400253,M000133,MA,,b'Markey'
3,98,2,0.020032438398155425,456856,P000145,CA,,b'Padilla'
4,97,3,0.031065595412190648,412490,B001277,CT,,b'Blumenthal'
5,96,4,0.035541409899726276,412325,M001176,OR,,b'Merkley'
6,95,5,0.045580298087229194,412598,B001288,NJ,,b'Booker'
7,94,6,0.05838750074376651,412542,W000817,MA,,b'Warren'
8,93,7,0.059141313262380334,300100,W000779,OR,,b'Wyden'
9,92,8,0.07154471231666433,412200,H001042,HI,,b'Hirono'
10,91,9,0.07565332592979887,412742,S001203,MN,,b'Smith'
11,90,10,0.08557337710296073,300038,D000563,IL,,b'Durbin'
12,89,11,0.0923940264109351,400050,B000944,OH,,b'Brown'
13,88,12,0.0944404184553066,412533,D000622,IL,,b'Duckworth'
14,87,13,0.11764676884201142,400415,V000128,MD,,b'Van Hollen'
15,86,14,0.12072202063416959,412223,G000555,NY,,b'Gillibrand'
16,85,15,0.12473766911919511,412247,W000802,RI,,b'Whitehouse'
17,84,16,0.1305043249435327,412242,K000367,MN,,b'Klobuchar'
18,83,17,0.14270358881708842,300076,M001111,WA,,b'Murray'
19,82,18,0.14412108191165438,300065,L000174,VT,,b'Leahy'
20,81,19,0.1458618264432754,300081,R000122,RI,,b'Reed'
21,80,20,0.15086565819144354,300043,F000062,CA,,b'Feinstein'
22,79,21,0.15263501895926398,412194,M001169,CT,,b'Murphy'
23,78,22,0.1718972163418153,412246,C001070,PA,,b'Casey'
24,77,23,0.174860888138848,412293,L000570,NM,,b'Luj\xc3\xa1n'
25,76,24,0.17699923801979606,400013,B001230,WI,,b'Baldwin'
26,75,25,0.19151515746170436,400272,M000639,NJ,,b'Menendez'
27,74,26,0.19949902686059967,400064,C000141,MD,,b'Cardin'
28,73,27,0.20070373534650027,412281,H001046,NM,,b'Heinrich'
29,72,28,0.2036007080893909,412582,K000384,VA,,b'Kaine'
30,71,29,0.21325045859345693,412507,S001194,HI,,b'Schatz'
31,70,30,0.21659144547821232,300018,C000127,WA,,b'Cantwell'
32,69,31,0.22194939564828683,300093,S000770,MI,,b'Stabenow'
33,68,32,0.23657456736940863,412681,C001113,NV,,b'Cortez Masto'
34,67,33,0.23978902220942785,300087,S000148,NY,,b'Schumer'
35,66,34,0.24804456873570224,412330,B001267,CO,,b'Bennet'
36,65,35,0.29256653195409976,412323,S001181,NH,,b'Shaheen'
37,64,36,0.3034053649280849,456857,O000174,GA,,b'Ossoff'
38,63,37,0.3085483513778938,412715,R000608,NV,,b'Rosen'
39,62,38,0.3094793849692882,300019,C000174,DE,,b'Carper'
40,61,39,0.3302216850711305,412321,W000805,VA,,b'Warner'
41,60,40,0.33503032395588184,456797,H000273,CO,,b'Hickenlooper'
42,59,41,0.33842271535140117,412390,C001088,DE,,b'Coons'
43,58,42,0.3460332570488533,412545,K000383,ME,,b'King'
44,57,43,0.35579658768331174,412305,P000595,MI,,b'Peters'
45,56,44,0.37764648643311177,412244,T000464,MT,,b'Tester'
46,55,45,0.39979334784779885,456794,K000377,AZ,,b'Kelly'
47,54,46,0.4361190723827804,412680,H001076,NH,,b'Hassan'
48,53,47,0.4466867743980765,412391,M001183,WV,,b'Manchin'
49,52,48,0.44862242584940054,300025,C001035,ME,,b'Collins'
50,51,49,0.4641582428676963,456858,W000790,GA,,b'Warnock'
51,50,50,0.47329674564861723,300075,M001153,AK,,b'Murkowski'
52,49,51,0.5009670346635671,412509,S001191,AZ,,b'Sinema'
53,48,52,0.5481206904304073,400325,P000449,OH,,b'Portman'
54,47,53,0.5777390008393655,300089,S000320,AL,,b'Shelby'
55,46,54,0.5844091392235413,400034,B000575,MO,,b'Blunt'
56,45,55,0.5966888379787708,412841,R000615,UT,,b'Romney'
57,44,56,0.5996875335843569,300072,M000355,KY,,b'McConnell'
58,43,57,0.6054728917809364,400054,B001135,NC,,b'Burr'
59,42,58,0.6076377149217366,400408,T000461,PA,,b'Toomey'
60,41,59,0.6147830301151201,400061,C001047,WV,,b'Capito'
61,40,60,0.619070797359753,300047,G000359,SC,,b'Graham'
62,39,61,0.6521006836422552,412665,S001198,AK,,b'Sullivan'
63,38,62,0.6700735926195451,300048,G000386,IA,,b'Grassley'
64,37,63,0.6776966741582178,412428,Y000064,IN,,b'Young'
65,36,64,0.6823487107889421,412269,C001075,LA,,b'Cassidy'
66,35,65,0.6842296492138685,412671,S001197,NE,,b'Sasse'
67,34,66,0.6848833227488085,412492,P000603,KY,,b'Paul'
68,33,67,0.6885764082221307,412556,F000463,NE,,b'Fischer'
69,32,68,0.7162702924679023,400284,M000934,KS,,b'Moran'
70,31,69,0.7434017058639575,412496,J000293,WI,,b'Johnson'
71,30,70,0.7537487878074729,412495,L000577,UT,,b'Lee'
72,29,71,0.7637885028397207,400432,W000437,MS,,b'Wicker'
73,28,72,0.7686992829264989,400040,B001236,AR,,b'Boozman'
74,27,73,0.7722267383913215,300027,C001056,TX,,b'Cornyn'
75,26,74,0.7813560775188494,412471,S001184,SC,,b'Scott'
76,25,75,0.7840085605855773,412669,R000605,SD,,b'Rounds'
77,24,76,0.7856843512485182,412679,K000393,LA,,b'Kennedy'
78,23,77,0.7950608559022395,400546,T000250,SD,,b'Thune'
79,22,78,0.808701355452043,456796,T000278,AL,,b'Tuberville'
80,21,79,0.8156838632640027,412494,H001061,ND,,b'Hoeven'
81,20,80,0.8179026173774212,412251,B001261,WY,,b'Barrasso'
82,19,81,0.8191461777509337,412668,T000476,NC,,b'Tillis'
83,18,82,0.8233319519185195,300030,C000880,ID,,b'Crapo'
84,17,83,0.8262654009672119,412667,E000295,IA,,b'Ernst'
85,16,84,0.8291090620903799,412322,R000584,ID,,b'Risch'
86,15,85,0.8311817640717247,412491,R000595,FL,,b'Rubio'
87,14,86,0.8574100274344073,456798,H000601,TN,,b'Hagerty'
88,13,87,0.8593222447528839,412549,D000618,MT,,b'Daines'
89,12,88,0.8643661956022627,412840,H001089,MO,,b'Hawley'
90,11,89,0.8680597642991627,412743,H001079,MS,,b'Hyde-Smith'
91,10,90,0.8763903640427563,412508,C001095,AR,,b'Cotton'
92,9,91,0.8802383182047842,300055,I000024,OK,,b'Inhofe'
93,8,92,0.8821247922286517,412704,M001198,KS,,b'Marshall'
94,7,93,0.8932929581085078,412294,L000571,WY,,b'Lummis'
95,6,94,0.8999293368758801,412464,L000575,OK,,b'Lankford'
96,5,95,0.9108962980322771,412555,C001096,ND,,b'Cramer'
97,4,96,0.9322823989063498,400032,B001243,TN,,b'Blackburn'
98,3,97,0.9440563851749506,412573,C001098,TX,,b'Cruz'
99,2,98,0.9810687431990602,412839,B001310,IN,,b'Braun'
100,1,99,1.0,412838,S001217,FL,,b'Scott'
