congress,committee_el,issue,total_mentions
117,Committee on Energy and Commerce,education,296
117,"Committee on Agriculture, Nutrition, and Forestry",law,288
117,Committee on Education and the Workforce,labor and employment,270
117,Committee on Natural Resources,law,264
117,Committee on Education and the Workforce,education,256
116,NA,"science, technology, communications",62
117,Committee on Education and the Workforce,National Security,254
117,Committee on Ways and Means,"Art, Culture, Religion",240
117,Committee on the Budget,education,236
117,Committee on the Budget,labor and employment,236
117,Committee on the Budget,National Security,228
117,"Committee on Agriculture, Nutrition, and Forestry",labor and employment,222
117,Committee on Transportation and Infrastructure,law,212
117,"Committee on Commerce, Science, and Transportation","Art, Culture, Religion",208
117,NA,"science, technology, communications",60
117,Committee on Homeland Security,law,206
117,Committee on Natural Resources,labor and employment,206
117,Committee on Oversight and Accountability,labor and employment,204
117,Select Committee on Intelligence,"Art, Culture, Religion",200
117,Committee on Oversight and Accountability,education,194
117,Committee on Ways and Means,law,194
117,"Committee on Agriculture, Nutrition, and Forestry","science, technology, communications",190
117,NA,health,58
117,NA,labor and employment,58
117,Select Committee on the Climate Crisis,"Art, Culture, Religion",184
117,Committee on Natural Resources,education,182
117,Committee on Oversight and Accountability,"science, technology, communications",182
117,"Committee on Agriculture, Nutrition, and Forestry",National Security,176
117,"Committee on Commerce, Science, and Transportation",law,164
117,Joint Economic Committee,"Art, Culture, Religion",162
117,Committee on Natural Resources,"science, technology, communications",160
117,Committee on Ways and Means,labor and employment,158
117,Select Committee on Intelligence,law,152
116,NA,labor and employment,56
117,Committee on Homeland Security,labor and employment,144
117,Committee on Homeland Security,education,142
117,Committee on the Judiciary,"Art, Culture, Religion",142
117,Joint Economic Committee,law,142
117,Select Committee on the Climate Crisis,law,140
117,Committee on Finance,"Art, Culture, Religion",138
117,Committee on Transportation and Infrastructure,education,138
117,Committee on Transportation and Infrastructure,labor and employment,138
117,Committee on Transportation and Infrastructure,"science, technology, communications",138
117,Committee on Homeland Security,"science, technology, communications",128
117,Committee on Foreign Relations,"Art, Culture, Religion",126
117,Committee on Ways and Means,education,124
117,Committee on Ways and Means,"science, technology, communications",118
117,Committee on Finance,law,116
117,Select Committee on the Climate Crisis,education,112
117,"Committee on Science, Space, and Technology","Art, Culture, Religion",110
117,Select Committee on Intelligence,National Security,110
117,Committee on the Judiciary,law,108
117,Select Committee on the Climate Crisis,labor and employment,108
117,"Committee on Commerce, Science, and Transportation",National Security,106
117,Committee on Foreign Relations,law,106
117,Joint Economic Committee,labor and employment,104
117,Permanent Select Committee on Intelligence,"Art, Culture, Religion",104
117,"Committee on Commerce, Science, and Transportation",labor and employment,98
117,Committee on Finance,labor and employment,98
116,NA,health,50
117,Select Committee on Intelligence,"science, technology, communications",98
117,"Committee on Banking, Housing, and Urban Affairs","Art, Culture, Religion",96
117,Select Committee on the Climate Crisis,National Security,96
117,"Committee on Commerce, Science, and Transportation",human rights,94
117,Joint Economic Committee,education,92
117,Select Committee on Intelligence,labor and employment,92
117,"Committee on Science, Space, and Technology",law,88
117,Committee on Foreign Relations,National Security,84
117,Committee on Foreign Relations,labor and employment,84
117,Joint Economic Committee,"science, technology, communications",84
117,Committee on Foreign Relations,"science, technology, communications",82
117,Permanent Select Committee on Intelligence,law,82
117,Joint Committee on Printing,"Art, Culture, Religion",80
117,Select Committee on Ethics,"Art, Culture, Religion",80
117,"Committee on Banking, Housing, and Urban Affairs",law,78
117,Committee on Finance,"science, technology, communications",74
117,"Committee on Science, Space, and Technology",education,74
117,"Committee on Science, Space, and Technology",labor and employment,74
117,Committee on the Judiciary,labor and employment,72
117,Select Committee on Ethics,law,72
117,Committee on the Judiciary,National Security,70
117,"Committee on Science, Space, and Technology","science, technology, communications",68
117,Committee on the Judiciary,education,68
117,Committee on Finance,National Security,66
117,Permanent Select Committee on Intelligence,"science, technology, communications",66
117,Permanent Select Committee on Intelligence,labor and employment,64
117,Committee on Energy and Natural Resources,"Art, Culture, Religion",62
117,Joint Committee on Printing,law,62
117,"Committee on Banking, Housing, and Urban Affairs",labor and employment,60
117,"Committee on Banking, Housing, and Urban Affairs","science, technology, communications",60
117,Joint Committee on Printing,labor and employment,56
117,Committee on Rules,"Art, Culture, Religion",54
117,Joint Committee on Printing,education,54
117,Committee on Energy and Natural Resources,law,52
117,Committee on Ethics,"Art, Culture, Religion",52
117,Committee on Homeland Security and Governmental Affairs,"Art, Culture, Religion",52
117,Permanent Select Committee on Intelligence,National Security,52
117,Select Committee on Ethics,labor and employment,52
117,Select Committee on the Modernization of Congress,"Art, Culture, Religion",52
117,Committee on Rules and Administration,"Art, Culture, Religion",50
117,"Committee on Banking, Housing, and Urban Affairs",National Security,46
117,Committee on House Administration,"Art, Culture, Religion",46
117,Committee on Small Business and Entrepreneurship,"Art, Culture, Religion",46
117,Joint Committee on Printing,health,46
117,Committee on Environment and Public Works,"Art, Culture, Religion",44
117,Committee on Rules,law,44
117,Committee on Small Business and Entrepreneurship,law,44
117,Select Committee on Ethics,human rights,44
117,Committee on Homeland Security and Governmental Affairs,law,42
117,Committee on Veterans' Affairs,"Art, Culture, Religion",42
117,Select Committee on the Modernization of Congress,law,42
117,Committee on Environment and Public Works,law,40
117,Committee on Ethics,law,40
117,Committee on Rules and Administration,law,40
117,Select Committee on Ethics,National Security,40
117,Committee on Environment and Public Works,labor and employment,38
117,Committee on House Administration,law,38
117,Committee on Rules and Administration,labor and employment,38
117,Committee on Veterans' Affairs,law,38
117,Committee on Rules and Administration,education,36
117,Committee on Rules and Administration,"science, technology, communications",36
117,Special Committee on Aging,"Art, Culture, Religion",36
117,Committee on Energy and Natural Resources,National Security,34
117,Committee on Veterans' Affairs,labor and employment,34
117,Committee on Energy and Natural Resources,"science, technology, communications",32
117,Committee on Environment and Public Works,National Security,32
117,Committee on Ethics,human rights,32
117,"Committee on Health, Education, Labor, and Pensions","Art, Culture, Religion",32
117,Committee on Homeland Security and Governmental Affairs,National Security,32
117,Committee on Homeland Security and Governmental Affairs,labor and employment,32
117,Committee on Indian Affairs,"Art, Culture, Religion",32
117,Committee on Small Business and Entrepreneurship,human rights,32
117,Committee on Small Business and Entrepreneurship,labor and employment,32
117,Committee on Small Business and Entrepreneurship,"science, technology, communications",32
117,Committee on Veterans' Affairs,"science, technology, communications",32
117,Joint Committee on the Library,"Art, Culture, Religion",32
117,Special Committee on Aging,law,32
117,Committee on Energy and Natural Resources,education,30
117,Committee on Environment and Public Works,education,30
117,Committee on Ethics,"science, technology, communications",30
117,Committee on Homeland Security and Governmental Affairs,"science, technology, communications",30
117,Committee on Rules,National Security,30
117,Committee on Rules,human rights,30
117,Committee on Rules,labor and employment,30
117,Committee on Small Business,"Art, Culture, Religion",30
117,Committee on Veterans' Affairs,education,30
117,Committee on Ethics,education,28
117,"Committee on Health, Education, Labor, and Pensions",law,28
117,Committee on House Administration,labor and employment,28
117,Committee on Indian Affairs,law,28
117,Committee on Small Business,law,28
117,Select Committee on the Modernization of Congress,education,28
117,Select Committee to Investigate the January 6th Attack on the United States Capitol,"Art, Culture, Religion",28
117,Committee on Indian Affairs,National Security,26
117,Committee on Indian Affairs,labor and employment,26
117,Committee on Small Business,labor and employment,26
117,Select Committee on the Modernization of Congress,labor and employment,26
117,Select Committee on the Modernization of Congress,"science, technology, communications",26
117,"Committee on Health, Education, Labor, and Pensions",labor and employment,24
117,"Committee on Health, Education, Labor, and Pensions","science, technology, communications",24
117,Committee on Indian Affairs,education,24
117,Committee on Small Business,education,24
117,Joint Committee on the Library,labor and employment,24
117,Joint Committee on the Library,law,24
117,"Committee on Health, Education, Labor, and Pensions",National Security,22
117,Committee on House Administration,education,22
117,Committee on House Administration,"science, technology, communications",22
117,Joint Committee on the Library,"science, technology, communications",22
117,Special Committee on Aging,labor and employment,22
117,Special Committee on Aging,"science, technology, communications",22
117,United States Senate Caucus on International Narcotics Control,"Art, Culture, Religion",22
117,Committee on Small Business,Crime and Law enforcement,20
117,Joint Committee on the Library,health,20
117,Select Committee on Economic Disparity and Fairness in Growth,"Art, Culture, Religion",20
117,Select Committee to Investigate the January 6th Attack on the United States Capitol,National Security,20
117,Select Committee to Investigate the January 6th Attack on the United States Capitol,law,20
117,United States Senate Caucus on International Narcotics Control,law,20
117,Special Committee on Aging,education,18
117,United States Senate Caucus on International Narcotics Control,labor and employment,18
117,Joint Committee on Taxation,"Art, Culture, Religion",16
117,Joint Committee on Taxation,education,16
117,Joint Committee on Taxation,labor and employment,16
117,Joint Committee on Taxation,law,16
117,Select Committee on Economic Disparity and Fairness in Growth,law,16
117,Select Subcommittee on the Coronavirus Pandemic,"Art, Culture, Religion",16
117,Joint Committee on Taxation,Agriculture and Food,14
117,Select Subcommittee on the Coronavirus Pandemic,law,14
117,United States Senate Caucus on International Narcotics Control,Crime and Law enforcement,14
117,United States Senate Caucus on International Narcotics Control,"science, technology, communications",14
117,Select Committee to Investigate the January 6th Attack on the United States Capitol,health,12
117,Select Committee to Investigate the January 6th Attack on the United States Capitol,human rights,12
117,Select Subcommittee on the Coronavirus Pandemic,National Security,10
117,Select Subcommittee on the Coronavirus Pandemic,"science, technology, communications",10
117,Select Committee on Economic Disparity and Fairness in Growth,National Security,8
117,Select Subcommittee on the Coronavirus Pandemic,energy,8
117,Select Committee on Economic Disparity and Fairness in Growth,education,6
117,Select Committee on Economic Disparity and Fairness in Growth,health,6
118,Committee on Armed Services,"Art, Culture, Religion",2018
118,Committee on Armed Services,law,1356
118,Committee on Transportation and Infrastructure,"Art, Culture, Religion",1298
118,Committee on Appropriations,"Art, Culture, Religion",1276
118,Committee on Financial Services,"Art, Culture, Religion",1098
118,Committee on Natural Resources,"Art, Culture, Religion",1002
118,Committee on Armed Services,labor and employment,944
118,Committee on Armed Services,"science, technology, communications",928
118,Committee on Energy and Commerce,"Art, Culture, Religion",922
118,Committee on Ways and Means,"Art, Culture, Religion",920
118,Committee on Appropriations,law,900
118,Committee on Armed Services,National Security,898
118,Committee on Transportation and Infrastructure,law,878
118,Committee on Agriculture,"Art, Culture, Religion",772
118,Committee on Financial Services,law,726
118,Committee on Natural Resources,law,696
118,Committee on Ways and Means,law,628
118,Committee on Energy and Commerce,law,622
118,Committee on Appropriations,labor and employment,610
118,Committee on Transportation and Infrastructure,labor and employment,604
118,Committee on Appropriations,"science, technology, communications",590
118,Committee on Transportation and Infrastructure,"science, technology, communications",590
118,Committee on Appropriations,National Security,560
118,Committee on Agriculture,law,492
118,Committee on Transportation and Infrastructure,National Security,476
118,Committee on Natural Resources,labor and employment,460
118,Committee on Financial Services,labor and employment,456
118,Committee on Ways and Means,"science, technology, communications",442
118,Committee on Financial Services,"science, technology, communications",440
118,Committee on Ways and Means,labor and employment,416
118,Committee on Energy and Commerce,"science, technology, communications",412
118,Committee on Natural Resources,"science, technology, communications",408
118,Committee on Energy and Commerce,labor and employment,400
118,Committee on Natural Resources,National Security,394
118,"Committee on Science, Space, and Technology","Art, Culture, Religion",392
118,Committee on Financial Services,National Security,388
118,Committee on Veterans' Affairs,"Art, Culture, Religion",362
118,Committee on Agriculture,labor and employment,356
118,Committee on Energy and Commerce,National Security,354
118,Committee on Agriculture,"science, technology, communications",344
118,Committee on Agriculture,National Security,342
118,Committee on Ways and Means,National Security,338
118,Committee on the Judiciary,"Art, Culture, Religion",332
118,"Committee on Agriculture, Nutrition, and Forestry","Art, Culture, Religion",322
118,Joint Economic Committee,"Art, Culture, Religion",288
118,"Committee on Banking, Housing, and Urban Affairs","Art, Culture, Religion",278
118,"Committee on Science, Space, and Technology",law,274
118,Committee on Foreign Affairs,"Art, Culture, Religion",268
118,Committee on Oversight and Accountability,"Art, Culture, Religion",262
118,Select Committee on Intelligence,"Art, Culture, Religion",256
118,Committee on Veterans' Affairs,law,254
118,Permanent Select Committee on Intelligence,"Art, Culture, Religion",252
118,Committee on the Judiciary,law,230
118,"Committee on Agriculture, Nutrition, and Forestry",law,224
118,"Committee on Commerce, Science, and Transportation","Art, Culture, Religion",206
118,Committee on Foreign Affairs,law,202
118,"Committee on Banking, Housing, and Urban Affairs",law,200
118,Joint Economic Committee,law,200
118,"Committee on Science, Space, and Technology",labor and employment,196
118,"Committee on Agriculture, Nutrition, and Forestry",labor and employment,194
118,Committee on Oversight and Accountability,law,190
118,Select Committee on Intelligence,law,190
118,Committee on the Judiciary,labor and employment,178
118,Permanent Select Committee on Intelligence,law,174
118,"Committee on Science, Space, and Technology","science, technology, communications",172
118,Committee on Veterans' Affairs,labor and employment,170
118,Committee on Veterans' Affairs,"science, technology, communications",170
118,Committee on Veterans' Affairs,National Security,160
118,"Committee on Banking, Housing, and Urban Affairs",labor and employment,154
118,Committee on Education and the Workforce,"Art, Culture, Religion",152
118,Committee on the Judiciary,"science, technology, communications",150
118,Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,"Art, Culture, Religion",148
118,Committee on Foreign Relations,"Art, Culture, Religion",146
118,Joint Committee on Printing,"Art, Culture, Religion",146
118,Joint Economic Committee,labor and employment,146
118,"Committee on Commerce, Science, and Transportation",law,142
118,"Committee on Science, Space, and Technology",National Security,136
118,"Committee on Agriculture, Nutrition, and Forestry",National Security,134
118,Committee on the Budget,"Art, Culture, Religion",132
118,Committee on the Judiciary,National Security,132
118,Committee on Oversight and Accountability,labor and employment,130
118,Committee on Energy and Natural Resources,"Art, Culture, Religion",128
118,Permanent Select Committee on Intelligence,"science, technology, communications",128
118,"Committee on Agriculture, Nutrition, and Forestry",Crime and Law enforcement,124
118,Special Committee on Aging,"Art, Culture, Religion",124
118,Permanent Select Committee on Intelligence,National Security,122
118,"Committee on Banking, Housing, and Urban Affairs",National Security,120
118,Joint Economic Committee,National Security,120
118,Select Committee on Intelligence,National Security,120
118,Select Committee on Intelligence,"science, technology, communications",116
118,"Committee on Banking, Housing, and Urban Affairs","science, technology, communications",114
118,Committee on Foreign Affairs,Crime and Law enforcement,112
118,Committee on Foreign Affairs,labor and employment,112
118,Committee on Foreign Relations,law,112
118,Committee on Oversight and Accountability,"science, technology, communications",112
118,Committee on Environment and Public Works,"Art, Culture, Religion",110
118,Committee on Foreign Affairs,National Security,110
118,Select Committee on Intelligence,labor and employment,110
118,"Committee on Commerce, Science, and Transportation",labor and employment,108
118,Committee on Education and the Workforce,law,108
118,Joint Committee on Printing,law,106
118,Joint Economic Committee,"science, technology, communications",106
118,Permanent Select Committee on Intelligence,Crime and Law enforcement,106
118,Committee on Homeland Security,"Art, Culture, Religion",100
118,Committee on Energy and Natural Resources,law,98
118,"Committee on Commerce, Science, and Transportation",National Security,96
118,Select Committee on Ethics,"Art, Culture, Religion",96
118,Committee on Oversight and Accountability,Crime and Law enforcement,94
118,Committee on the Budget,law,92
118,Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,law,92
118,"Committee on Commerce, Science, and Transportation","science, technology, communications",88
118,Committee on Finance,"Art, Culture, Religion",88
118,Committee on Small Business and Entrepreneurship,"Art, Culture, Religion",88
118,Committee on Rules,"Art, Culture, Religion",84
118,Committee on Ethics,"Art, Culture, Religion",80
118,Committee on Foreign Relations,"science, technology, communications",80
118,Joint Committee on Printing,labor and employment,80
118,Special Committee on Aging,law,80
118,Committee on Environment and Public Works,law,78
118,Committee on Foreign Relations,labor and employment,78
118,Select Committee on Ethics,law,78
118,Committee on Foreign Relations,National Security,74
118,Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,"science, technology, communications",74
118,Committee on Homeland Security,law,72
118,Committee on Rules,law,68
118,Committee on the Budget,labor and employment,68
118,Committee on the Budget,"science, technology, communications",68
118,Committee on Education and the Workforce,labor and employment,66
118,Committee on Environment and Public Works,labor and employment,66
118,Committee on Finance,law,66
118,Joint Committee on Printing,National Security,66
118,Joint Committee on Printing,"science, technology, communications",66
118,Joint Committee on the Library,"Art, Culture, Religion",66
118,Committee on Homeland Security,labor and employment,64
118,Committee on Small Business and Entrepreneurship,law,64
118,Committee on Energy and Natural Resources,National Security,62
118,"Committee on Health, Education, Labor, and Pensions","Art, Culture, Religion",60
118,Committee on the Budget,National Security,60
118,Committee on Homeland Security,"science, technology, communications",58
118,Committee on Small Business and Entrepreneurship,labor and employment,56
118,Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,National Security,56
118,Committee on Energy and Natural Resources,labor and employment,54
118,Committee on Environment and Public Works,National Security,54
118,Joint Committee on the Library,law,54
118,Committee on Environment and Public Works,"science, technology, communications",52
118,Committee on Homeland Security,National Security,52
118,Select Committee on Ethics,labor and employment,52
118,Select Subcommittee on the Coronavirus Pandemic,"Art, Culture, Religion",52
118,Committee on Education and the Workforce,education,50
118,Committee on Education and the Workforce,human rights,50
118,Committee on Ethics,law,50
118,Committee on Small Business and Entrepreneurship,National Security,50
118,Select Committee on Ethics,National Security,50
118,Committee on Indian Affairs,"Art, Culture, Religion",48
118,Committee on Energy and Natural Resources,"science, technology, communications",46
118,"Committee on Health, Education, Labor, and Pensions",law,46
118,Committee on Homeland Security and Governmental Affairs,"Art, Culture, Religion",46
118,Joint Committee on the Library,labor and employment,46
118,Select Committee on Ethics,"science, technology, communications",46
118,Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,labor and employment,46
118,Special Committee on Aging,labor and employment,46
118,Special Committee on Aging,National Security,44
118,Committee on Finance,"science, technology, communications",42
118,Committee on Finance,labor and employment,40
118,"Committee on Health, Education, Labor, and Pensions",labor and employment,40
118,Committee on Rules,labor and employment,40
118,Special Committee on Aging,"science, technology, communications",40
118,Committee on Ethics,"science, technology, communications",38
118,Committee on Finance,National Security,38
118,Committee on Indian Affairs,law,38
118,"Committee on Health, Education, Labor, and Pensions",National Security,36
118,Committee on Ethics,labor and employment,34
118,Committee on Indian Affairs,labor and employment,34
118,Committee on Small Business,"Art, Culture, Religion",34
118,Committee on Small Business and Entrepreneurship,"science, technology, communications",34
118,Committee on Ethics,National Security,32
118,Committee on Homeland Security and Governmental Affairs,law,32
118,Committee on Rules and Administration,"Art, Culture, Religion",32
118,"Committee on Health, Education, Labor, and Pensions","science, technology, communications",30
118,Select Subcommittee on the Coronavirus Pandemic,law,30
118,Committee on House Administration,"Art, Culture, Religion",28
118,Committee on Rules,National Security,28
118,Committee on Rules,human rights,28
118,Joint Committee on Taxation,"Art, Culture, Religion",28
118,Select Subcommittee on the Coronavirus Pandemic,"science, technology, communications",28
118,Committee on Homeland Security and Governmental Affairs,National Security,26
118,Committee on Small Business,law,26
118,Joint Committee on the Library,Crime and Law enforcement,26
118,Joint Committee on the Library,National Security,26
118,Select Subcommittee on the Coronavirus Pandemic,National Security,26
118,Select Subcommittee on the Coronavirus Pandemic,labor and employment,26
118,Committee on Indian Affairs,National Security,24
118,Committee on Small Business,labor and employment,24
118,Committee on Homeland Security and Governmental Affairs,labor and employment,22
118,Committee on House Administration,law,22
118,Committee on Homeland Security and Governmental Affairs,"science, technology, communications",20
118,Committee on Indian Affairs,Crime and Law enforcement,20
118,Committee on Rules and Administration,labor and employment,18
118,Committee on Rules and Administration,law,18
118,Joint Committee on Taxation,law,18
118,Committee on House Administration,"science, technology, communications",16
118,Committee on Rules and Administration,"science, technology, communications",16
118,Committee on Small Business,health,16
118,Joint Committee on Taxation,National Security,16
118,Joint Committee on Taxation,labor and employment,16
118,Committee on Rules and Administration,National Security,14
118,Committee on Small Business,education,14
118,Select Subcommittee on the Weaponization of the Federal Government,"Art, Culture, Religion",14
118,Committee on House Administration,Crime and Law enforcement,12
118,Committee on House Administration,National Security,12
118,Joint Committee on Taxation,Crime and Law enforcement,12
118,Select Subcommittee on the Weaponization of the Federal Government,labor and employment,10
118,Select Subcommittee on the Weaponization of the Federal Government,law,10
118,Select Subcommittee on the Weaponization of the Federal Government,"science, technology, communications",8
118,Select Subcommittee on the Weaponization of the Federal Government,National Security,6